TRADEDATE,IMOEX,MOEX10
2016-07-01,1896.62,4217.68
2016-07-04,1907.48,4257.28
2016-07-05,1895.64,4220.02
2016-07-06,1879.42,4185.47
2016-07-07,1882.41,4203.35
2016-07-08,1894.35,4273.59
2016-07-11,1913.12,4328.87
2016-07-12,1938.36,4390.24
2016-07-13,1935.88,4379.77
2016-07-14,1942.46,4410.63
2016-07-15,1940.85,4346.4
2016-07-18,1936.07,4320.79
2016-07-19,1915.89,4266.7
2016-07-20,1915.09,4277.33
2016-07-21,1927.7,4302.09
2016-07-22,1926.9,4310.62
2016-07-25,1931.78,4315.32
2016-07-26,1938.52,4335.19
2016-07-27,1938.65,4303.48
2016-07-28,1954.45,4338.56
2016-07-29,1944.62,4320.17
2016-08-01,1947.36,4315.93
2016-08-02,1912.69,4245.17
2016-08-03,1919.15,4272.98
2016-08-04,1944.94,4333.54
2016-08-05,1944.31,4343.92
2016-08-08,1956.99,4383.04
2016-08-09,1956.42,4384.96
2016-08-10,1942.67,4360.75
2016-08-11,1952.18,4360.75
2016-08-12,1967.18,4414.93
2016-08-15,1977.28,4455.86
2016-08-16,1975.8,4428.5
2016-08-17,1969.19,4423.29
2016-08-18,1970.07,4433.63
2016-08-19,1959.72,4413.26
2016-08-22,1979.09,4451.36
2016-08-23,1989.51,4472.54
2016-08-24,1983.59,4443.45
2016-08-25,1985.56,4459.69
2016-08-26,1993.35,4480.72
2016-08-29,1986.72,4479.29
2016-08-30,1985.69,4475.89
2016-08-31,1971.59,4441.46
2016-09-01,1976.91,4458.69
2016-09-02,2003.77,4531.29
2016-09-05,2017.38,4575.06
2016-09-06,2039.53,4617.84
2016-09-07,2053.75,4656.97
2016-09-08,2050.77,4644.45
2016-09-09,2028.25,4608.48
2016-09-12,2019.9,4583.41
2016-09-13,2004.5,4542.95
2016-09-14,2004.48,4535.36
2016-09-15,1996.58,4520.45
2016-09-16,1981.96,4468.82
2016-09-19,1986.97,4510.47
2016-09-20,1991.78,4534.63
2016-09-21,1997.67,4546.79
2016-09-22,2025.3,4624.33
2016-09-23,2011.83,4585.42
2016-09-26,1997.94,4554.12
2016-09-27,1975.52,4499.11
2016-09-28,1980.68,4505.8
2016-09-29,1996.12,4539.69
2016-09-30,1978.0,4477.77
2016-10-03,1986.8,4505.32
2016-10-04,1985.02,4500.47
2016-10-05,1975.85,4466.93
2016-10-06,1983.88,4511.13
2016-10-07,1980.02,4508.95
2016-10-10,2001.1,4562.44
2016-10-11,2001.42,4552.12
2016-10-12,2001.42,4528.29
2016-10-13,1976.37,4491.53
2016-10-14,1966.39,4470.23
2016-10-17,1956.95,4461.68
2016-10-18,1969.11,4475.88
2016-10-19,1967.5,4467.0
2016-10-20,1957.09,4438.05
2016-10-21,1957.7,4436.1
2016-10-24,1962.79,4431.33
2016-10-25,1977.19,4474.85
2016-10-26,1974.81,4456.64
2016-10-27,1979.8,4456.54
2016-10-28,1981.76,4462.09
2016-10-31,1989.64,4465.6
2016-11-01,1996.87,4458.33
2016-11-02,1968.77,4406.0
2016-11-03,1962.71,4370.26
2016-11-07,1952.69,4322.4
2016-11-08,1967.93,4361.89
2016-11-09,2011.58,4431.59
2016-11-10,2044.03,4508.27
2016-11-11,2031.92,4507.93
2016-11-14,2021.99,4490.59
2016-11-15,2017.06,4490.59
2016-11-16,2028.92,4478.92
2016-11-17,2042.76,4495.06
2016-11-18,2038.29,4503.04
2016-11-21,2058.77,4531.59
2016-11-22,2066.18,4569.96
2016-11-23,2085.75,4602.45
2016-11-24,2102.97,4623.82
2016-11-25,2098.15,4601.14
2016-11-28,2094.65,4594.27
2016-11-29,2086.84,4570.72
2016-11-30,2104.91,4662.46
2016-12-01,2121.87,4670.63
2016-12-02,2128.99,4680.84
2016-12-05,2158.33,4751.12
2016-12-06,2152.35,4731.61
2016-12-07,2160.51,4722.7
2016-12-08,2207.02,4836.73
2016-12-09,2208.53,4843.74
2016-12-12,2226.89,4904.95
2016-12-13,2247.02,4968.83
2016-12-14,2229.05,4932.84
2016-12-15,2237.23,4942.68
2016-12-16,2231.41,4937.49
2016-12-19,2215.69,4896.43
2016-12-20,2226.36,4907.73
2016-12-21,2212.33,4877.11
2016-12-22,2174.64,4799.08
2016-12-23,2173.18,4780.58
2016-12-26,2177.86,4796.73
2016-12-27,2189.43,4818.14
2016-12-28,2182.98,4826.89
2016-12-29,2206.33,4880.99
2016-12-30,2232.72,4918.92
2017-01-03,2285.43,5072.44
2017-01-04,2263.9,5006.54
2017-01-05,2220.35,4909.64
2017-01-06,2213.93,4885.28
2017-01-09,2211.25,4880.69
2017-01-10,2237.49,4960.69
2017-01-11,2218.61,4982.16
2017-01-12,2212.0,4945.72
2017-01-13,2195.19,4909.97
2017-01-16,2189.07,4900.73
2017-01-17,2178.73,4854.9
2017-01-18,2170.09,4843.64
2017-01-19,2162.25,4829.71
2017-01-20,2159.96,4828.09
2017-01-23,2146.09,4818.72
2017-01-24,2174.59,4867.73
2017-01-25,2176.0,4860.54
2017-01-26,2229.2,4969.35
2017-01-27,2266.05,5043.62
2017-01-30,2234.14,4994.48
2017-01-31,2217.39,4972.47
